event_id,name,year,date_raw,format,location,weight,notes
46,HITB CTF Amsterdam 2015,2015,"28 May, 00:00 PDT — 29 May 2015, 08:00 PDT",Jeopardy,On-site,20,N/A
47,PHD CTF Finals 2015,2015,"26 May, 00:00 PDT — 27 May 2015, 08:00 PDT",Jeopardy,On-site,10,N/A
48,CONFidence CTF 2015,2015,"25 May, 03:00 PDT — 26 May 2015, 06:00 PDT",Jeopardy,On-site,30,N/A
49,NorthSec 2015,2015,"22 May, 12:30 PDT — 24 May 2015, 08:00 PDT",Hack-Quest,On-site,0,N/A
50,14th HUST Hacking Festival,2015,"22 May, 02:00 PDT — 23 May 2015, 02:00 PDT",Jeopardy,Online,0,N/A
51,DEF CON CTF Qualifier 2015,2015,"15 May, 17:00 PDT — 17 May 2015, 17:00 PDT",Jeopardy,Online,90,N/A
52,Dz-Hack-Event 2015,2015,"09 May, 13:00 PDT — 10 May 2015, 01:00 PDT",Jeopardy,On-site,0,N/A
53,ASIS CTF Quals 2015,2015,"08 May, 22:30 PDT — 10 May 2015, 22:30 PDT",Jeopardy,Online,30,N/A
54,School CTF Spring 2015,2015,"02 May, 23:00 PDT — 03 May 2015, 04:00 PDT",Jeopardy,Online,0,N/A
55,VolgaCTF 2015 Quals,2015,"01 May, 05:00 PDT — 03 May 2015, 05:00 PDT",Jeopardy,Online,20,N/A
56,RuCTF Finals 2015,2015,"26 April, 02:00 PDT — 27 April 2015, 02:00 PDT",Attack-Defense,On-site,0,N/A
57,Teaser CONFidence CTF 2015,2015,"25 April, 01:00 PDT — 26 April 2015, 01:00 PDT",Jeopardy,Online,5,N/A
58,0CTF 2015 Finals,2015,"24 April, 17:00 PDT — 26 April 2015, 03:00 PDT",Attack-Defense,On-site,20,N/A
59,PlaidCTF 2015,2015,"17 April, 14:00 PDT — 19 April 2015, 14:00 PDT",Jeopardy,Online,75,N/A
60,UCSB iCTF 2014,2015,"10 April, 08:00 PDT — 10 April 2015, 17:00 PDT",Attack-Defense,Online,42,N/A
61,Codegate CTF Finals 2015,2015,"06 April, 22:00 PDT — 07 April 2015, 18:00 PDT",Jeopardy,On-site,60,N/A
62,Hack Zone Tunisia 2015,2015,"04 April, 10:00 PDT — 05 April 2015, 00:00 PDT",Jeopardy,Online,5,N/A
63,Nuit du Hack CTF Quals 2015,2015,"03 April, 13:00 PDT — 04 April 2015, 12:59 PDT",Jeopardy,Online,40,N/A
64,UIUCTF 2015,2015,"02 April, 20:00 PDT — 03 April 2015, 20:00 PDT",Jeopardy,Online,5,N/A
65,BackdoorCTF 2015,2015,"01 April, 07:30 PDT — 01 April 2015, 19:30 PDT",Jeopardy,Online,30,N/A
66,0CTF 2015 Quals,2015,"27 March, 17:00 PDT — 29 March 2015, 17:00 PDT",Jeopardy,Online,30,N/A
67,BCTF 2015,2015,"20 March, 22:00 PDT — 22 March 2015, 22:00 PDT",Jeopardy,Online,40,N/A
68,Securinets CTF Quals 2015,2015,"20 March, 12:00 PDT — 21 March 2015, 12:00 PDT",Jeopardy,Online,5,N/A
69,Insomni'hack 2015,2015,"20 March, 11:00 PDT — 20 March 2015, 21:00 PDT",Jeopardy,On-site,30,N/A
70,B-Sides Vancouver 2015,2015,"16 March, 01:30 PDT — 18 March 2015, 16:45 PDT",Jeopardy,Online,5,N/A
71,Codegate CTF Preliminary 2015,2015,"14 March, 05:00 PDT — 15 March 2015, 12:00 PDT",Jeopardy,Online,70,N/A
72,InCTF 2015 Quals,2015,"13 March, 21:30 PDT — 15 March 2015, 09:30 PDT",Jeopardy,Online,0,N/A
